id,polyline,distance_meters,duration_seconds,edge_id,translation_id
84,sw`gGbxwfNXAXEb@FTAAY?cExABrDDnC@r@GL|@JZu@@,483,102,37,4
85,sw`gGbxwfNXAXEb@FTAAY?cExABrDDnC@hDSp@PLJ^VVDxA?LDJFFX@h@@bBCNA^AdAGl@Q`@a@x@EvA?L]LIBa@@eA@_@Ee@@_AF[FMJ]ZXj@DX?rBBpDJ~E@dBE^MPIFiEd@s@DCo@?_BFwBAUGMECW?aAFw@Jc@HEAMC[@A}@EeC,1835,397,38,4
86,_cagGruwfNCoE~BCR?VHl@TDp@@|A@b@DHTVJJx@\`@B,365,89,39,4
87,_cagGruwfNCoE~BCR?VHl@TDp@@|A@b@DHTVJJx@\XBR?n@Gb@FTAA}EvCFjGBp@GpBKp@PTN^Tl@DbA?JFHJDV@fCE^?d@CdAMf@S`@OXGNEv@?l@a@NQBiA@aAEi@D{@FQHUNOPLVLVFnG@jCJfECv@KRGFy@NoCVy@FC_DFsBCQEEKEs@DkAHSF_@FCAWCO@A]AcACaB,2204,488,40,4
88,_cagGruwfNCoE~BCR?VHl@TDp@@|A@b@DHTVJJx@\XBR?n@Gb@FTAA}EvCFjGBp@GpBKp@PTN^Tl@DbA?JFHJDV@fCE^?d@CdAMf@S`@OXGNEv@?l@a@NQBiA@aAEi@D{@FQHUNOPLVLVFnG@jCJfECv@KRGFy@NoCVy@FC_DFsBCQEEKEs@DkAHSF_@FCAWCO@A]AcACaB,2204,488,41,4
89,sv`gGzoxfN,0,0,42,4
90,sv`gGzoxfNDdD@\NAP?HD^GRGjAI?sBAm@BCtACpB@,356,94,43,4
91,sv`gGzoxfNDdD@\NAP?HD^GRG~BOJDDD?B,218,59,44,4
92,}e`gGlyxfN?`AE^MPIFiEd@s@DCo@?_BFwBCY,318,84,45,4
93,}e`gGlyxfN?`AE^MPIFiEd@cAHe@Bi@Ia@M?eAKy@Io@,347,77,46,4
94,}e`gGlyxfN?`AE^MPIFiEd@s@DCo@?_BFwBAUGMECW?a@B?q@AaB?O?AB?jBCzA@,540,138,47,4
95,yn`gGruxfNKMW?aAFw@J@rA,126,39,48,6
96,yn`gGruxfNKMW?a@B?q@AaB?K?CvAErB@,222,55,49,6
97,yn`gGruxfNKMW?aAFw@Jc@HKCc@?EqCAq@,218,59,50,6
98,yn`gGruxfNB\GbB?z@BbBx@GnCWx@OFGJSBw@?c@,318,73,51,6
99,sv`gGzoxfNDdD@\NAP?HD^GFA@jA?F,160,46,52,6
100,sv`gGzoxfN,0,0,53,6
101,qs`gGtxxfNRzA@h@?h@PD`@Ld@Bf@GC_DFsBCQEEKEs@DkAHSF_@FCAWCO@A]AcACaB,483,160,54,6
102,yn`gGruxfNGM[?aAFw@J@rA,126,103,48,7
103,yn`gGruxfNGM[?a@B?q@AaB?OVA?QFENMPWHY@ONAfAENU,236,199,49,7
104,yn`gGruxfNGM[?a@B?q@AaB?OVA?QFENMPWHY@]MUEi@GGw@ByAB?H?J,307,249,50,7
105,yn`gGruxfNBLEjBZKl@Ah@E?Of@A@@@@?F?T,159,130,51,7
106,ox`gGtpxfN\C\U@p@BrA@|@ZALD`@GFA@jA?F,195,163,52,7
107,ox`gGtpxfN\C\U?qA?e@Jw@JFX?^E?H?J,156,128,53,7
108,us`gGlxxfNAsAe@HKEQ?O@A]AcACaB?wBJw@JFx@E?N?D,281,228,54,7
